,index,caiop,state,raiop,backers_count,goal,goal_mean,succ_mean,media_goal_regione,score,n_char,n_dot,n_word,n_word_per_sentence,polarity,subjectivity,Value
0,0,1.02065455954235,failed,8.5769861548823,0,15000.0,3262.5,27.3139333333333,9567.97660818713,-11.1546270679449,38,1,6,6.0,0.0,0.0,8.0
1,1,1.02065455954235,failed,8.5769861548823,5,40000.0,3262.5,27.3139333333333,9567.97660818713,94.4847859553201,46,1,6,6.0,0.0333333333333333,0.0666666666666667,8.0
2,2,1.33583216656867,failed,8.5769861548823,4,2000.0,7355.33333333333,27.3139333333333,9567.97660818713,0.0,62,1,7,7.0,0.0,0.0,8.0
3,3,1.33583216656867,failed,8.5769861548823,1,5500.0,7355.33333333333,27.3139333333333,9567.97660818713,94.4287691783811,114,1,18,18.0,-0.0833333333333333,0.166666666666667,8.0
4,4,7.08664371402648,successful,8.5769861548823,98,23000.0,9976.87341772152,27.3139333333333,9567.97660818713,10.4001681258336,136,1,24,24.0,-0.151851851851852,0.22962962962963,8.0
5,5,1.3401695840397,failed,8.5769861548823,17,55000.0,11184.3650793651,27.3139333333333,9567.97660818713,1.61903976333335,136,1,22,22.0,0.0,0.1,8.0
6,6,1.3401695840397,canceled,8.5769861548823,0,100000.0,11184.3650793651,27.3139333333333,9567.97660818713,22.1400397341767,132,1,20,20.0,0.0,0.0,8.0
7,7,1.3401695840397,failed,8.5769861548823,1,20000.0,11184.3650793651,27.3139333333333,9567.97660818713,95.3537625711908,38,1,6,6.0,0.0,0.0,8.0
8,8,1.3401695840397,failed,8.5769861548823,12,20000.0,11184.3650793651,27.3139333333333,9567.97660818713,0.0,58,1,6,6.0,0.0,0.0,8.0
9,9,1.3401695840397,canceled,8.5769861548823,10,10000.0,11184.3650793651,27.3139333333333,9567.97660818713,41.6864297803087,137,1,23,23.0,0.125,0.55,8.0
10,10,1.3401695840397,failed,8.5769861548823,0,10000.0,11184.3650793651,27.3139333333333,9567.97660818713,-3.69301393880099,133,1,26,26.0,0.0,0.0833333333333333,8.0
11,11,1.06405539100702,failed,8.5769861548823,1,3000.0,2152.0,27.3139333333333,9567.97660818713,9.89685201245047,111,2,17,8.5,0.0,0.0,8.0
12,12,1.06405539100702,failed,8.5769861548823,0,20000.0,2152.0,27.3139333333333,9567.97660818713,0.0,128,1,18,18.0,0.0,0.0,8.0
13,13,5.70298361464505,successful,8.5769861548823,22,100.0,11889.0985915493,27.3139333333333,9567.97660818713,23.0558282707844,66,1,11,11.0,0.0,0.75,8.0
14,14,10.0,canceled,8.5769861548823,1,35000.0,8135.55405405405,27.3139333333333,9567.97660818713,6.11452437584225,136,3,23,7.66666666666667,0.146484375,0.55,8.0
15,15,10.0,successful,8.5769861548823,19,1000.0,8135.55405405405,27.3139333333333,9567.97660818713,21.4244240535801,114,2,15,7.5,0.8,0.9,8.0
16,16,10.0,successful,8.5769861548823,100,3000.0,8135.55405405405,27.3139333333333,9567.97660818713,25.4893000346528,72,1,11,11.0,0.1125,0.5,8.0
17,17,10.0,failed,8.5769861548823,2,2000.0,8135.55405405405,27.3139333333333,9567.97660818713,-0.973468516488794,72,1,9,9.0,1.0,1.0,8.0
