,level_0,index,state,state_location,id,backers_count,parent_id_category,converted_pledged_amount,pledged,name_category,goal,thumb_photo,score,fascia
0,0,0,failed,Lombardia,1228952,0,journalism,0,0.0,Web,15000.0,https://ksr-ugc.imgix.net/assets/013/276/479/d97cbc8c6f38b847a6c60c55c1f0d661_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1470327813&auto=format&q=92&s=6dc8680452769e0377c6fc493a9b0445,-11.1546270679449,Media
1,1,1,failed,Piemonte,3931404,5,photography,61,54.0,Animals,3000.0,https://ksr-ugc.imgix.net/assets/022/423/129/7ff451e9a82b5764e80a1e3895691146_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1535905116&auto=format&frame=1&q=92&s=01fb28d9b55a8f4e309a308bde6e3aac,29.7429126878058,Bassa
2,2,2,successful,Friuli Venezia Giulia,4749379,208,design,4706,3830.15,Product Design,2999.0,https://ksr-ugc.imgix.net/assets/020/427/398/69dc85b192e6181dfed8d2e71765c5db_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1523009976&auto=format&q=92&s=8a675513886286a7eaade09db6528aaf,28.8214643616209,Bassa
3,3,3,failed,Emilia-Romagna,5624449,2,design,12,11.0,Graphic Design,100.0,https://ksr-ugc.imgix.net/assets/012/419/407/86dc251b8054d2e3df2e4f3c85d36cfa_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463760335&auto=format&q=92&s=f7de33b1a31330cb7d520f037f6ae6ef,0.0,Bassa
4,4,4,successful,Marche,5969670,31,technology,1446,1231.0,DIY Electronics,625.0,https://ksr-ugc.imgix.net/assets/022/342/664/3235ed1f05ab7cf0d8ab41a7d0421407_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1536433422&auto=format&frame=1&q=92&s=eb444050cf03e514ef039f4aed8cfb4b,-12.6468897070467,Bassa
5,5,5,successful,Emilia-Romagna,6557569,82,comics,2711,2338.0,Comic Books,1300.0,https://ksr-ugc.imgix.net/assets/022/108/379/86ffadf84142ad121eca0dac9f91442b_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1533224590&auto=format&frame=1&q=92&s=c038430989f6437251ef8aa916d3cca1,149.136885312829,Bassa
6,6,6,failed,Abruzzo,6814737,8,art,119,103.0,Installations,1200.0,https://ksr-ugc.imgix.net/assets/021/480/489/78a38fab941ecbcc34b2e907383a1893_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1528304279&auto=format&q=92&s=3af7ce1c76deac956925ab50b1349325,15.8648783241957,Bassa
7,7,7,failed,Campania,8141206,134,technology,6256,5301.0,Gadgets,14000.0,https://ksr-ugc.imgix.net/assets/020/801/832/a7d381408e14e98e96ff537e5111fcfe_original.png?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1523556198&auto=format&frame=1&q=92&s=8a37ac8701d34830d9c2e796f4f70662,74.1581158583869,Media
8,8,8,successful,Abruzzo,8688945,82,music,5852,5139.0,Electronic Music,3800.0,https://ksr-ugc.imgix.net/assets/022/435/528/cf2ae7f2e652c7bae9375f3105a80b39_original.png?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1538070982&auto=format&frame=1&q=92&s=43e5d813e48671de29f4076f480a0fa9,101.69523950077,Media
9,9,9,failed,Sicilia,9854531,3,publishing,65,58.0,Calendars,600.0,https://ksr-ugc.imgix.net/assets/012/269/940/aa26bf37da83e0c91549ae2ff614ef4c_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463748891&auto=format&q=92&s=cc39b2015ee232d0a36f7342a6a26b25,33.6366773615036,Bassa
10,10,10,failed,Lombardia,9988325,5,technology,63,54.0,Hardware,35000.0,https://ksr-ugc.imgix.net/assets/018/314/171/5441a8313e5bccaefa49dde85b8ee163_original.png?crop=faces&w=48&h=27&fit=crop&v=1505316245&auto=format&q=92&s=09fec09ce87b4342e05e3b880c3e4300,82.4647935929968,Alta
11,11,11,successful,Lombardia,10882222,22,crafts,472,407.0,Crafts,100.0,https://ksr-ugc.imgix.net/assets/022/132/858/b05d26886a8878257ff6cf29f79bbb9c_original.jpeg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1534616493&auto=format&frame=1&q=92&s=aa68157f30ae7787607c8b73d043727c,23.0558282707844,Bassa
