,goal,pledged,state,state_location,surplus
0,2999.0,3830.15,successful,Friuli Venezia Giulia,27.714238079359788
1,625.0,1231.0,successful,Marche,96.96000000000001
2,1300.0,2338.0,successful,Emilia-Romagna,79.84615384615384
3,3800.0,5139.0,successful,Abruzzo,35.23684210526316
4,100.0,407.0,successful,Lombardia,307.0
5,80.0,808.0,successful,Piemonte,910.0
6,8000.0,24641.0,successful,Toscana,208.0125
7,100.0,9614.0,successful,Lazio,9514.0
8,18000.0,18804.0,successful,Piemonte,4.466666666666667
9,25000.0,34097.0,successful,Lombardia,36.388
10,20000.0,76830.0,successful,Lombardia,284.15
11,9000.0,10564.0,successful,Piemonte,17.377777777777776
12,70000.0,95396.0,successful,Sicilia,36.28
13,5000.0,5820.0,successful,Piemonte,16.400000000000002
14,45000.0,574504.1,successful,Lombardia,1176.6757777777777
15,500.0,1292.0,successful,Toscana,158.4
16,10000.0,13551.0,successful,Lazio,35.510000000000005
17,1500.0,1979.0,successful,Piemonte,31.933333333333337
18,2500.0,3440.0,successful,Lombardia,37.6
19,10000.0,98256.0,successful,Sardegna,882.56
20,30000.0,193139.65,successful,Lazio,543.7988333333333
21,700.0,784.0,successful,Piemonte,12.0
22,700.0,1052.0,successful,Toscana,50.28571428571429
23,2000.0,3576.0,successful,Toscana,78.8
24,2500.0,2674.0,successful,Lombardia,6.959999999999999
25,7000.0,7553.0,successful,Piemonte,7.9
26,27.0,228.0,successful,Toscana,744.4444444444445
27,2000.0,2706.0,successful,Campania,35.3
28,2700.0,2961.0,successful,Lombardia,9.666666666666666
29,1900.0,2217.0,successful,Piemonte,16.68421052631579
30,1500.0,1621.0,successful,Toscana,8.066666666666666
31,300.0,9385.0,successful,Toscana,3028.3333333333335
32,20000.0,27370.17,successful,Piemonte,36.850849999999994
33,200.0,5344.0,successful,Veneto,2572.0
34,10.0,50.0,successful,Toscana,400.0
35,150.0,205.0,successful,Friuli Venezia Giulia,36.666666666666664
36,2000.0,6367.0,successful,Piemonte,218.35
37,400.0,408.0,successful,Lazio,2.0
38,150.0,332.0,successful,Lazio,121.33333333333334
39,10000.0,267790.48,successful,Liguria,2577.9048
40,870.0,1183.75,successful,Piemonte,36.06321839080459
41,3200.0,3685.0,successful,Emilia-Romagna,15.156249999999998
42,10.0,10.0,successful,Lombardia,0.0
43,750.0,801.0,successful,Lombardia,6.800000000000001
44,3000.0,3604.0,successful,Umbria,20.133333333333333
45,250.0,262.0,successful,Lombardia,4.8
46,980.0,3531.0,successful,Piemonte,260.3061224489796
47,6000.0,13027.0,successful,Lombardia,117.11666666666667
48,2000.0,2478.0,successful,Piemonte,23.9
49,1200.0,1882.0,successful,Toscana,56.833333333333336
50,100.0,395.0,successful,Lombardia,295.0
51,625.0,2026.0,successful,Marche,224.16
52,8000.0,8196.0,successful,Emilia-Romagna,2.45
53,800.0,1998.0,successful,Piemonte,149.75
54,1500.0,4541.0,successful,Lazio,202.73333333333335
55,20000.0,25925.0,successful,Emilia-Romagna,29.625
56,500.0,518.0,successful,Friuli Venezia Giulia,3.5999999999999996
57,10000.0,11100.0,successful,Toscana,11.0
58,1800.0,1811.0,successful,Umbria,0.6111111111111112
59,4000.0,4150.0,successful,Piemonte,3.75
60,5000.0,5389.0,successful,Lombardia,7.779999999999999
61,4000.0,7222.0,successful,Lombardia,80.55
62,30000.0,44759.0,successful,Piemonte,49.196666666666665
63,20000.0,72598.0,successful,Piemonte,262.99
64,20000.0,295022.0,successful,Piemonte,1375.11
65,500.0,1878.0,successful,Liguria,275.59999999999997
66,1100.0,1431.0,successful,Piemonte,30.09090909090909
67,1300.0,1300.0,successful,Lombardia,0.0
68,4000.0,15464.0,successful,Abruzzo,286.6
69,2500.0,2558.0,successful,Lombardia,2.32
70,800.0,879.0,successful,Sardegna,9.875
71,10.0,21.0,successful,Lombardia,110.00000000000001
72,4000.0,12910.0,successful,Veneto,222.75
73,20000.0,91946.0,successful,Campania,359.73
74,4000.0,10061.0,successful,Campania,151.525
75,500.0,2579.0,successful,Veneto,415.8
76,5000.0,12757.0,successful,Lombardia,155.14
77,500.0,510.0,successful,Piemonte,2.0
78,6000.0,17193.0,successful,Piemonte,186.54999999999998
79,400.0,521.0,successful,Lombardia,30.25
80,1500.0,3002.0,successful,Lazio,100.13333333333334
81,2000.0,8245.0,successful,Lombardia,312.25
82,2000.0,74516.0,successful,Toscana,3625.8
83,500.0,1584.0,successful,Toscana,216.8
84,100.0,140.0,successful,Piemonte,40.0
85,7000.0,7473.0,successful,Piemonte,6.757142857142857
86,600.0,1728.0,successful,Marche,188.0
87,15000.0,47175.0,successful,Lombardia,214.5
88,4850.0,5689.0,successful,Piemonte,17.29896907216495
89,750.0,921.0,successful,Marche,22.8
90,15000.0,497988.0,successful,Veneto,3219.9199999999996
91,500.0,528.0,successful,Emilia-Romagna,5.6000000000000005
92,50000.0,56806.0,successful,Trentino-Alto Adige,13.611999999999998
93,35000.0,117473.0,successful,Emilia-Romagna,235.6371428571429
94,1000.0,1800.0,successful,Lombardia,80.0
95,3000.0,3094.0,successful,Lombardia,3.1333333333333333
96,1500.0,2130.0,successful,Lombardia,42.0
97,100.0,202.0,successful,Piemonte,102.0
98,987.0,3387.0,successful,Friuli Venezia Giulia,243.161094224924
99,500.0,788.0,successful,Lombardia,57.599999999999994
100,9000.0,52047.0,successful,Piemonte,478.3
101,8000.0,8588.0,successful,Lombardia,7.35
102,3000.0,3492.0,successful,Lombardia,16.400000000000002
103,5000.0,6523.0,successful,Emilia-Romagna,30.459999999999997
104,70000.0,390535.0,successful,Umbria,457.9071428571429
105,100.0,289.0,successful,Piemonte,189.0
106,500.0,1392.0,successful,Lombardia,178.4
107,20.0,122.0,successful,Veneto,509.99999999999994
108,3000.0,23129.0,successful,Toscana,670.9666666666666
109,100.0,115.0,successful,Piemonte,15.0
110,1000.0,1088.0,successful,Lazio,8.799999999999999
111,50000.0,57566.44,successful,Friuli Venezia Giulia,15.132880000000004
112,4666.0,6483.0,successful,Toscana,38.941277325332194
113,5000.0,29002.0,successful,Lombardia,480.03999999999996
114,500.0,894.0,successful,Piemonte,78.8
115,1500.0,1820.0,successful,Toscana,21.333333333333336
116,1500.0,5882.0,successful,Piemonte,292.1333333333333
117,22000.0,28855.0,successful,Lombardia,31.15909090909091
118,3000.0,8598.0,successful,Piemonte,186.60000000000002
119,2000.0,2110.0,successful,Toscana,5.5
120,10000.0,11278.0,successful,Lombardia,12.78
121,20000.0,136336.2,successful,Lombardia,581.681
122,10200.0,22348.0,successful,Piemonte,119.09803921568627
123,1500.0,1690.0,successful,Piemonte,12.666666666666668
124,3000.0,3021.0,successful,Lombardia,0.7000000000000001
125,28000.0,39144.6,successful,Lombardia,39.802142857142854
126,5000.0,5133.0,successful,Emilia-Romagna,2.6599999999999997
127,500.0,647.0,successful,Piemonte,29.4
128,4000.0,19011.0,successful,Lombardia,375.275
129,500.0,819.0,successful,Toscana,63.800000000000004
130,10000.0,11012.0,successful,Veneto,10.12
131,3000.0,28706.04,successful,Lazio,856.868
132,5275.0,19554.0,successful,Emilia-Romagna,270.6919431279621
133,3000.0,7723.0,successful,Piemonte,157.43333333333334
134,300000.0,322202.0,successful,Toscana,7.400666666666666
135,5000.0,5661.0,successful,Friuli Venezia Giulia,13.22
136,900.0,1237.0,successful,Friuli Venezia Giulia,37.44444444444445
137,250.0,1481.0,successful,Piemonte,492.40000000000003
138,5000.0,7459.0,successful,Puglia,49.18
139,2900.0,2906.0,successful,Abruzzo,0.20689655172413793
140,6000.0,6032.7,successful,Sicilia,0.5449999999999969
141,500.0,866.0,successful,Toscana,73.2
142,55000.0,314431.69,successful,Umbria,471.69398181818184
143,2000.0,7139.0,successful,Piemonte,256.95
144,8400.0,15953.0,successful,Emilia-Romagna,89.91666666666667
145,500.0,510.0,successful,Puglia,2.0
146,1200.0,1250.0,successful,Marche,4.166666666666666
147,700.0,2269.0,successful,Lombardia,224.14285714285717
148,2000.0,2112.0,successful,Sardegna,5.6000000000000005
149,10000.0,21477.0,successful,Lazio,114.77
150,23000.0,23000.0,successful,Lombardia,0.0
151,250.0,2025.22,successful,Piemonte,710.088
152,500.0,682.0,successful,Piemonte,36.4
153,3000.0,3163.0,successful,Piemonte,5.433333333333333
154,50000.0,145829.0,successful,Piemonte,191.658
155,10000.0,10266.0,successful,Toscana,2.6599999999999997
156,1500.0,2869.0,successful,Toscana,91.26666666666667
157,1500.0,1505.34,successful,Lazio,0.35599999999999454
158,2500.0,2535.0,successful,Lombardia,1.4000000000000001
159,16000.0,27482.0,successful,Lombardia,71.76249999999999
160,50.0,50.0,successful,Lazio,0.0
161,3000.0,4064.8,successful,Piemonte,35.49333333333334
162,300.0,506.0,successful,Toscana,68.66666666666667
163,50000.0,1048988.8,successful,Lombardia,1997.9776000000002
164,15000.0,15280.0,successful,Lazio,1.866666666666667
