,state_location,name_category,cont
0,Abruzzo,3D Printing,29
1,Abruzzo,Electronic Music,11
2,Abruzzo,Events,2
3,Abruzzo,Jewelry,16
4,Abruzzo,Photobooks,22
5,Abruzzo,Publishing,1
6,Baja California,Journalism,14
7,Baja California,Publishing,3
8,Basilicata,Farms,23
9,Berlin,Narrative Film,10
10,Budapest,Classical Music,12
11,CA,Hardware,12
12,CA,Technology,3
13,Cairo,World Music,15
14,Calabria,Graphic Novels,20
15,Calabria,Metal,15
16,Calabria,Tabletop Games,11
17,Campania,Academic,47
18,Campania,Accessories,18
19,Campania,Design,2
20,Campania,DIY Electronics,34
21,Campania,Fashion,4
22,Campania,Footwear,16
23,Campania,Jewelry,6
24,Campania,Playing Cards,7
25,Campania,Sculpture,2
26,Campania,Tabletop Games,18
27,Campania,Video Games,9
28,Canton of Geneva,Conceptual Art,18
29,Canton of Ticino,Photo,14
30,Ciudad de la Habana,World Music,15
31,Coahuila de Zaragoza,Photobooks,20
32,Crete,Playing Cards,15
33,Crete,Product Design,7
34,DE,Apps,20
35,Emilia-Romagna,3D Printing,15
36,Emilia-Romagna,Academic,15
37,Emilia-Romagna,Accessories,16
38,Emilia-Romagna,Action,15
39,Emilia-Romagna,Anthologies,16
40,Emilia-Romagna,Apparel,17
41,Emilia-Romagna,Art Books,17
42,Emilia-Romagna,Camera Equipment,17
43,Emilia-Romagna,Comic Books,13
44,Emilia-Romagna,Crafts,12
45,Emilia-Romagna,DIY Electronics,41
46,Emilia-Romagna,Documentary,6
47,Emilia-Romagna,Food,3
48,Emilia-Romagna,Footwear,19
49,Emilia-Romagna,Illustration,30
50,Emilia-Romagna,Playing Cards,14
51,Emilia-Romagna,Product Design,7
52,Emilia-Romagna,Robots,37
53,Emilia-Romagna,Shorts,9
54,Emilia-Romagna,Tabletop Games,39
55,Emilia-Romagna,Technology,2
56,Emilia-Romagna,Video Games,12
57,Emilia-Romagna,Wearables,2
58,Emilia-Romagna,Woodworking,11
59,Emilia-Romagna,Zines,16
60,England,Classical Music,5
61,England,Gaming Hardware,17
62,Federacija Bosne I Hercegovine,Documentary,5
63,Flevoland,Apps,15
64,Friuli-Venezia Giulia,Animation,1
65,Friuli-Venezia Giulia,Apparel,16
66,Friuli-Venezia Giulia,Electronic Music,15
67,Friuli-Venezia Giulia,Festivals,15
68,Friuli-Venezia Giulia,Indie Rock,7
69,Friuli-Venezia Giulia,Mixed Media,14
70,Friuli-Venezia Giulia,Nonfiction,15
